Date,Price
2020-03-09,47.459999
2020-03-10,48.480000
2020-03-11,41.500000
2020-03-12,36.209999
2020-03-13,38.700001
2020-03-16,32.509998
2020-03-17,36.930000
2020-03-18,33.270000
2020-03-19,37.279999
2020-03-20,34.779999
2020-03-23,35.889999
2020-03-24,44.119999
2020-03-25,43.459999
2020-03-26,45.130001
2020-03-27,40.639999
2020-03-30,37.619999
2020-03-31,37.740002
2020-04-01,32.520000
2020-04-02,32.880001
2020-04-03,33.189999
2020-04-06,38.070000
2020-04-07,38.849998
2020-04-08,43.189999
2020-04-09,44.540001
2020-04-13,42.849998
2020-04-14,44.900002
2020-04-15,42.889999
2020-04-16,42.930000
2020-04-17,43.500000
2020-04-20,46.430000
2020-04-21,47.099998
2020-04-22,49.310001
2020-04-23,48.750000
2020-04-24,49.369999
2020-04-27,50.639999
2020-04-28,51.740002
2020-04-29,55.709999
2020-04-30,54.509998
2020-05-01,51.700001
2020-05-04,52.770000
2020-05-05,49.220001
2020-05-06,50.860001
2020-05-07,50.610001
2020-05-08,55.009998
2020-05-11,52.009998
2020-05-12,50.820000
2020-05-13,47.669998
2020-05-14,48.290001
2020-05-15,48.840000
2020-05-18,51.570000
2020-05-19,51.009998
2020-05-20,52.860001
2020-05-21,52.450001
2020-05-22,52.450001
2020-05-26,53.500000
2020-05-27,56.869999
2020-05-28,55.529999
2020-05-29,55.549999
2020-06-01,55.160000
2020-06-02,53.500000
2020-06-03,55.610001
2020-06-04,58.849998
2020-06-05,59.790001
2020-06-08,63.150002
2020-06-09,59.500000
2020-06-10,57.169998
2020-06-11,52.720001
2020-06-12,54.599998
2020-06-15,55.799999
2020-06-16,53.869999
2020-06-17,54.060001
2020-06-18,55.450001
2020-06-19,54.509998
2020-06-22,53.669998
2020-06-23,56.169998
2020-06-24,52.070000
2020-06-25,52.770000
2020-06-26,49.619999
2020-06-29,51.160000
2020-06-30,52.980000
2020-07-01,53.090000
2020-07-02,53.639999
2020-07-06,53.430000
2020-07-07,49.930000
2020-07-08,49.049999
2020-07-09,48.259998
2020-07-10,48.290001
2020-07-13,48.689999
2020-07-14,47.980000
2020-07-15,51.049999
2020-07-16,49.880001
2020-07-17,49.529999
2020-07-20,49.509998
2020-07-21,51.669998
2020-07-22,53.029999
2020-07-23,52.669998
2020-07-24,51.830002
2020-07-27,50.720001
2020-07-28,51.139999
2020-07-29,54.840000
2020-07-30,55.220001
2020-07-31,48.549999
2020-08-03,49.389999
2020-08-04,50.549999
2020-08-05,48.910000
2020-08-06,50.220001
2020-08-07,51.070000
2020-08-10,52.250000
2020-08-11,52.619999
2020-08-12,53.139999
2020-08-13,53.869999
2020-08-14,54.520000
2020-08-17,54.779999
2020-08-18,55.080002
2020-08-19,53.919998
2020-08-20,55.290001
2020-08-21,58.340000
2020-08-24,58.110001
2020-08-25,60.220001
2020-08-26,60.200001
2020-08-27,63.599998
2020-08-28,67.449997
2020-08-31,68.250000
2020-09-01,68.279999
2020-09-02,68.110001
2020-09-03,67.070000
2020-09-04,66.959999
2020-09-08,65.669998
2020-09-09,67.709999
2020-09-10,68.370003
2020-09-11,65.360001
2020-09-14,70.080002
2020-09-15,72.160004
2020-09-16,71.320000
2020-09-17,68.139999
2020-09-18,67.580002
2020-09-21,66.300003
2020-09-22,67.070000
2020-09-23,65.940002
2020-09-24,65.750000
2020-09-25,66.250000
2020-09-28,68.500000
2020-09-29,64.900002
2020-09-30,64.480003
2020-10-01,64.870003
2020-10-02,66.769997
2020-10-05,65.589996
2020-10-06,65.540001
2020-10-07,66.870003
2020-10-08,70.889999
2020-10-09,72.180000
2020-10-12,71.269997
2020-10-13,72.459999
2020-10-14,71.000000
2020-10-15,70.919998
2020-10-16,70.269997
2020-10-19,70.379997
2020-10-20,68.660004
2020-10-21,69.279999
2020-10-22,72.559998
2020-10-23,74.739998
2020-10-26,70.820000
2020-10-27,71.040001
2020-10-28,66.180000
2020-10-29,68.970001
2020-10-30,67.519997
2020-11-02,64.989998
2020-11-03,67.349998
2020-11-04,70.279999
2020-11-05,71.180000
2020-11-06,71.190002
2020-11-09,82.250000
2020-11-10,79.449997
2020-11-11,76.330002
2020-11-12,75.989998
2020-11-13,79.059998
2020-11-16,79.000000
2020-11-17,78.959999
2020-11-18,79.010002
2020-11-19,78.400002
2020-11-20,75.849998
2020-11-23,79.199997
2020-11-24,82.139999
2020-11-25,81.669998
2020-11-27,82.650002
2020-11-30,81.660004
2020-12-01,80.290001
2020-12-02,82.360001
2020-12-03,85.489998
2020-12-04,87.769997
2020-12-07,84.750000
2020-12-08,85.980003
2020-12-09,86.019997
2020-12-10,87.099998
2020-12-11,86.360001
2020-12-14,86.730003
2020-12-15,85.790001
2020-12-16,85.930000
2020-12-17,91.080002
2020-12-18,90.309998
2020-12-21,90.500000
2020-12-22,88.089996
2020-12-23,87.849998
2020-12-24,87.800003
2020-12-28,86.129997
2020-12-29,85.930000
2020-12-30,84.860001
2020-12-31,84.779999
2021-01-04,82.430000
2021-01-05,85.919998
2021-01-06,86.879997
2021-01-07,88.919998
2021-01-08,91.290001
2021-01-11,90.870003
2021-01-12,101.550003
2021-01-13,109.330002
2021-01-14,114.650002
2021-01-15,111.260002
2021-01-19,111.690002
2021-01-20,107.970001
2021-01-21,109.070000
2021-01-22,111.209999
2021-01-25,110.559998
2021-01-26,109.709999
2021-01-27,125.000000
2021-01-28,116.139999
2021-01-29,113.419998
2021-02-01,112.349998
2021-02-02,108.269997
2021-02-03,111.620003
2021-02-04,116.870003
2021-02-05,117.550003
2021-02-08,122.269997
2021-02-09,126.529999
2021-02-10,129.229996
2021-02-11,130.759995
2021-02-12,128.789993
2021-02-16,123.040001
2021-02-17,123.709999
2021-02-18,123.059998
2021-02-19,124.540001
2021-02-22,121.989998
2021-02-23,120.860001
2021-02-24,125.330002
2021-02-25,118.919998
2021-02-26,118.480003
2021-03-01,117.529999
2021-03-02,121.459999
2021-03-03,113.820000
2021-03-04,109.370003
2021-03-05,112.760002
